item_no,year,total_usage_qty,total_usage_value,non_stockout_days,total_inventory_value_days,calendar_days
ENG0019,2010,80.0,134086.4,349,15473570.56,365
ENG0019,2011,95.0,159227.6,337,20299004.88,365
ENG0019,2012,60.0,100564.8,136,2641502.08,366
ENG0019,2013,220.0,368737.6,298,21659981.84,365
ENG0019,2014,194.0,325159.52,365,61704885.2,365
ENG0019,2015,270.0,452541.6,297,24375231.44,365
ENG0019,2016,292.0,489415.36,308,45797209.92,366
ENG0019,2017,661.0,1107888.88,312,99121695.12,365
ENG0019,2018,662.0,1109564.96,365,141219796.48,365
ENG0019,2019,874.0,1464893.92,337,25519994.08,365
ENG0019,2020,1118.0,1873857.44,329,74676068.32,366
ENG0019,2021,1267.0,2123593.36,361,144742916.64,365
ENG0019,2022,1153.0,1927137.07,296,378739830.56,365
ENG0019,2023,1755.0,2758051.56,365,971831090.11,365
ENG0019,2024,1655.0,2892060.73,366,1274864737.65,366
ENG0019,2025,2655.0,5038255.37,365,1162367811.63,365
ENG0019,2026,1500.0,2915758.53,174,564722154.63,174
ENG0021,2005,4.0,14861.76,213,13271550.57,213
ENG0021,2006,0.0,0.0,365,21698167.79,365
ENG0021,2007,0.0,0.0,365,21698167.79,365
ENG0021,2008,0.0,0.0,366,21757614.82,366
ENG0021,2009,0.0,0.0,365,21698167.79,365
ENG0021,2010,0.0,0.0,365,21698167.79,365
ENG0021,2011,2.0,7430.88,365,20412625.66,365
ENG0021,2012,0.0,0.0,366,19037912.97,366
ENG0021,2013,0.0,0.0,365,18985896.82,365
ENG0021,2014,0.0,0.0,365,18985896.82,365
ENG0021,2015,0.0,0.0,365,18985896.82,365
ENG0021,2016,14.0,52016.16,164,8530649.53,366
ENG0021,2018,248.0,921429.04,314,123779873.27,365
ENG0021,2019,175.0,673225.92,365,401056471.34,365
ENG0021,2020,236.0,901396.86,366,323303548.77,366
ENG0021,2021,418.0,1538721.3,365,474855221.39,365
ENG0021,2022,528.0,1867459.26,365,451826045.49,365
ENG0021,2023,215.0,855541.97,365,350799728.53,365
ENG0021,2024,306.0,1273920.29,366,258239460.87,366
ENG0021,2025,366.0,1672157.3,359,129941753.82,365
ENG0021,2026,26.0,122231.99,174,87668547.48,174
ENG0020,2018,13.0,333724.49,250,49930317.94,286
ENG0020,2019,21.0,544400.16,365,255080873.15,365
ENG0020,2020,19.0,488958.87,366,354429182.51,366
ENG0020,2021,37.0,939415.53,365,566121817.15,365
ENG0020,2022,71.0,1789504.55,365,221811796.81,365
ENG0020,2023,36.0,948172.73,365,1457663745.95,365
ENG0020,2024,42.0,1217271.39,366,2382866707.79,366
ENG0020,2025,48.0,1391167.32,365,1989514183.13,365
ENG0020,2026,10.0,289826.53,174,796646176.69,174
ENG0014,2005,16.0,3127.27,83,309013.72,121
ENG0014,2006,20.0,3909.09,8,-885213.88,365
ENG0014,2011,37.0,7231.82,70,-572681.98,365
ENG0014,2012,250.0,48863.65,46,947954.81,366
ENG0014,2013,300.0,58636.38,8,293181.9,365
ENG0014,2016,310.0,56581.46,86,1971134.36,366
ENG0014,2017,190.0,34580.0,347,6708156.0,365
ENG0014,2018,273.0,49686.0,365,17228484.0,365
ENG0014,2019,117.0,21925.35,365,15797913.71,365
ENG0014,2020,207.0,38648.36,366,6523167.52,366
ENG0014,2021,112.0,20911.17,365,2775957.59,365
ENG0014,2022,78.0,13982.69,252,7289451.24,365
ENG0014,2023,797.0,113367.73,355,16756843.34,365
ENG0014,2024,322.0,35664.0,346,9023410.41,366
ENG0014,2025,390.0,37440.0,343,4430208.0,365
ENG0014,2026,173.0,16608.0,174,3569664.0,174
ENG0023,2005,0.0,0.0,213,32062064.84,213
ENG0023,2006,25.0,150526.13,8,1204209.01,365
ENG0023,2007,555.0,3341680.0,266,131306950.23,365
ENG0023,2008,76.0,457599.42,13,5948792.5,366
ENG0023,2011,793.0,4774688.72,142,588707678.79,365
ENG0023,2012,2200.0,13246299.09,329,1963462787.54,366
ENG0023,2013,520.0,3130943.42,365,1888801829.05,365
ENG0023,2014,980.0,5900624.14,332,1155366290.64,365
ENG0023,2015,500.0,3010522.52,270,367434273.57,365
ENG0023,2016,225.0,1354735.13,176,83090421.55,366
ENG0023,2017,75.0,451578.38,337,152181913.39,365
ENG0023,2018,1906.0,11476111.85,175,1089435847.45,365
ENG0023,2019,1155.0,6954307.02,365,645967817.12,365
ENG0023,2020,1491.0,9488323.27,105,215393173.09,366
ENG0023,2021,3150.0,20160000.0,62,156800000.0,365
ENG0023,2022,3500.0,23051000.0,167,268173750.0,365
ENG0023,2023,1625.0,15689375.0,275,259835360.0,365
ENG0023,2024,1800.0,17379000.0,366,402005235.0,366
ENG0023,2025,1291.0,11800445.06,182,158278285.06,365
ENG0023,2026,373.0,3594920.6,51,49181983.4,174
ENG0044,2017,2.0,17568.41,60,1054104.8,65
ENG0044,2018,13.0,114194.69,301,16391329.65,365
ENG0044,2019,24.0,210820.98,365,28838553.21,365
ENG0044,2020,12.0,105410.52,366,37710613.53,366
ENG0044,2021,12.0,101150.8,365,82426065.24,365
ENG0044,2022,28.0,231048.85,365,84143040.4,365
ENG0044,2023,8.0,66013.96,365,34657327.61,365
ENG0044,2024,7.0,57762.21,366,42966834.5,366
ENG0044,2025,6.0,49510.47,365,31439147.19,365
ENG0044,2026,3.0,24755.23,174,15191461.94,174
ENG0006,2017,4.0,61872.04,45,2784241.8,49
ENG0006,2018,40.0,618720.4,310,164455882.32,365
ENG0006,2019,35.0,548887.85,365,286153103.98,365
ENG0006,2020,57.0,903072.94,278,137869135.14,366
ENG0006,2021,63.0,965168.82,365,282370743.42,365
ENG0006,2022,162.0,2359524.51,365,796134060.34,365
ENG0006,2023,99.0,1574438.74,365,976838519.58,365
ENG0006,2024,113.0,1871234.25,366,538330433.42,366
ENG0006,2025,75.0,1278655.9,310,124526799.92,365
ENG0006,2026,11.0,213219.56,174,112484980.53,174
ENG0035,2005,5579.0,7378227.5,61,158480465.0,201
ENG0035,2008,100.0,132250.0,23,3041750.0,366
ENG0035,2011,5895.0,7796137.5,8,38702962.5,365
ENG0035,2012,3000.0,3967500.0,36,44303750.0,366
ENG0035,2018,5000.0,6612500.0,2,6612500.0,365
ENG0035,2019,500.0,661250.0,59,192423750.0,365
ENG0035,2020,7500.0,9918750.0,219,1098997500.0,366
ENG0035,2021,0.0,0.0,243,2816925000.0,365
ENG0035,2022,10000.0,10818000.0,85,1019271600.0,365
ENG0035,2023,1000.0,1081800.0,338,773019140.55,365
ENG0035,2024,250.0,368230.08,366,6169843409.09,366
ENG0035,2025,14000.0,21051174.34,365,7801453945.28,365
ENG0035,2026,250.0,376294.6,174,1463785984.28,174
ENG0030,2006,0.0,0.0,241,8927160.56,241
ENG0030,2007,0.0,0.0,365,13520388.4,365
ENG0030,2008,0.0,0.0,366,13557430.56,366
ENG0030,2009,1.0,37042.16,309,19558260.48,365
ENG0030,2010,4.0,148168.64,119,17632068.16,365
ENG0030,2013,1.0,37042.16,21,4148721.92,365
ENG0030,2014,5.0,185210.8,365,70639399.12,365
ENG0030,2015,6.0,222252.96,362,53711132.0,365
ENG0030,2016,5.0,185210.8,278,43154116.4,366
ENG0030,2017,5.0,185210.8,307,85789642.56,365
ENG0030,2018,15.0,555632.4,308,41376092.72,365
ENG0030,2019,12.0,444505.92,258,70232202.58,365
ENG0030,2020,11.0,434530.03,272,32036714.03,366
ENG0030,2021,13.0,475037.41,195,28424221.88,365
ENG0030,2022,22.0,437949.36,347,39652599.6,365
ENG0030,2023,31.0,388536.13,365,69257989.32,365
ENG0030,2024,35.0,436415.39,366,110947388.33,366
ENG0030,2025,21.0,512069.43,365,40365482.69,365
ENG0030,2026,7.0,378723.8,174,30406110.8,174
ENG0041,2006,14.0,2730.0,68,711750.0,68
ENG0041,2007,172.0,33540.0,228,2021175.0,365
ENG0041,2008,221.0,43095.0,366,10725780.0,366
ENG0041,2009,208.0,40560.0,321,5234385.0,365
ENG0041,2010,252.0,49140.0,365,11285430.0,365
ENG0041,2011,269.0,52455.0,365,9634755.0,365
ENG0041,2012,327.0,63765.0,366,12117300.0,366
ENG0041,2013,402.0,78390.0,271,6936540.0,365
ENG0041,2014,314.0,61230.0,343,7595445.0,365
ENG0041,2015,269.0,52455.0,319,8099910.0,365
ENG0041,2016,297.0,57915.0,330,19807125.0,366
ENG0041,2017,288.0,56160.0,365,53178840.0,365
ENG0041,2018,291.0,61991.09,365,46136351.02,365
ENG0041,2019,467.0,114242.52,365,23732630.55,365
ENG0041,2020,326.0,79758.7,366,13115918.64,366
ENG0041,2021,183.0,36910.31,365,11708905.55,365
ENG0041,2022,111.0,21919.39,365,7227125.06,365
ENG0041,2023,30.0,5920.89,365,34182887.27,365
ENG0041,2024,30.0,5851.54,366,44958686.5,366
ENG0041,2025,73.0,14238.74,365,42080549.57,365
ENG0041,2026,10.0,1950.51,174,18072667.69,174
ENG0031,2007,96.0,569457.6,280,148960617.2,280
ENG0031,2008,114.0,676230.9,366,66804494.7,366
ENG0031,2009,250.0,1482962.5,365,47870029.5,365
ENG0031,2010,513.0,3043039.05,365,66359605.95,365
ENG0031,2011,0.0,0.0,365,38972254.5,365
ENG0031,2012,18.0,106773.3,38,4057385.4,366
ENG0031,2013,1600.0,9490960.0,317,1669103953.0,365
ENG0031,2015,500.0,2965925.0,225,667333125.0,365
ENG0031,2021,735.0,4359909.75,288,3249645385.5,365
ENG0031,2022,3765.0,22766769.31,287,1734818005.79,365
ENG0031,2023,1061.0,6619784.09,252,1083142674.46,365
ENG0031,2024,939.0,5858602.51,236,866268315.35,366
ENG0031,2025,1233.0,8297734.36,287,1672591058.96,365
ENG0031,2026,157.0,1088958.47,174,1582554904.36,174
ENG0022,2009,0.0,0.0,62,14975548.2,62
ENG0022,2010,30.0,1207705.5,333,164892057.6,365
ENG0022,2011,24.0,966164.4,74,71496165.6,365
ENG0022,2012,12.0,483082.2,118,27455171.7,366
ENG0022,2014,0.0,0.0,90,67027655.25,365
ENG0022,2015,42.0,1690787.7,365,1000624263.6,365
ENG0022,2016,57.0,2294640.45,366,616614171.45,366
ENG0022,2017,1.0,40256.85,28,1127191.8,365
ENG0022,2018,38.0,1529760.3,330,241058017.8,365
ENG0022,2019,28.0,1242275.8,171,85885444.0,365
ENG0022,2020,4.0,187422.4,57,68638350.0,366
ENG0022,2021,26.0,1216853.85,365,844619377.36,365
ENG0022,2022,40.0,1833066.44,365,736251134.0,365
ENG0022,2023,24.0,1099839.89,365,259103948.19,365
ENG0022,2024,15.0,229881.47,366,158370171.25,366
ENG0022,2025,52.0,796922.42,365,205820540.34,365
ENG0022,2026,13.0,191334.71,174,101045351.4,174
ENG0027,2010,3.0,16835.68,195,1268288.17,195
ENG0027,2011,1.0,5611.89,102,982081.55,365
ENG0027,2012,2.0,11223.79,196,2104460.46,366
ENG0027,2013,1.0,5611.89,81,454563.46,365
ENG0027,2015,1.0,5611.89,52,1475928.27,365
ENG0027,2016,4.0,22447.58,366,7576057.64,366
ENG0027,2017,5.0,28059.47,365,16330613.14,365
ENG0027,2018,10.0,56118.95,365,21847105.48,365
ENG0027,2019,7.0,39283.26,275,7413312.88,365
ENG0027,2021,5.0,28059.45,111,2484497.79,365
ENG0027,2022,7.0,35196.05,331,6591113.51,365
ENG0027,2023,19.0,110941.01,365,13539274.89,365
ENG0027,2024,15.0,105139.36,366,25885123.42,366
ENG0027,2025,13.0,102440.05,206,13175366.09,365
ENG0027,2026,8.0,61401.86,174,18685688.66,174
ENG0026,2010,12.0,479552.82,241,27774100.82,267
ENG0026,2011,4.0,159850.94,291,34647691.24,365
ENG0026,2018,0.0,0.0,196,22738796.22,365
ENG0026,2019,3.0,119888.2,365,74250760.45,365
ENG0026,2020,4.0,159850.94,366,54189467.3,366
ENG0026,2021,6.0,239776.4,293,54029616.37,365
ENG0026,2022,2.0,79925.47,365,88557418.54,365
ENG0026,2023,6.0,239776.4,363,41135721.91,365
ENG0026,2024,3.0,110177.91,288,25267467.36,366
ENG0026,2025,9.0,393357.04,365,101136902.33,365
ENG0026,2026,4.0,199646.5,174,22659877.75,174
ENG0036,2013,0.0,0.0,92,22925172.21,92
ENG0036,2014,4.0,99674.66,365,68526329.99,365
ENG0036,2015,2.0,49837.33,365,46149368.41,365
ENG0036,2016,4.0,99674.66,366,69124377.96,366
ENG0036,2017,4.0,99674.66,365,77945585.53,365
ENG0036,2018,6.0,149511.99,365,93768938.09,365
ENG0036,2019,1.0,24918.67,365,86069070.46,365
ENG0036,2020,11.0,274105.32,180,37427835.18,366
ENG0036,2021,3.0,74756.0,365,66582672.88,365
ENG0036,2022,6.0,149511.99,365,98603157.4,365
ENG0036,2023,9.0,224267.98,278,34836293.67,365
ENG0036,2024,1.0,24918.66,253,57362766.83,366
ENG0036,2025,8.0,199349.32,365,52403952.5,365
ENG0036,2026,4.0,99674.66,139,53774479.07,174
ENG0025,2019,134.0,244018.91,365,38627829.84,365
ENG0025,2020,143.0,260408.24,216,25337904.23,366
ENG0025,2021,166.0,302292.09,76,8762828.46,365
ENG0025,2022,136.0,247660.99,150,22453382.14,365
ENG0025,2023,630.0,1147253.1,90,21999944.01,365
ENG0025,2024,880.0,1784970.54,173,56745072.39,366
ENG0025,2025,1668.0,3621544.25,221,83564512.42,365
ENG0025,2026,521.0,1181725.54,77,77410213.03,174
ENG0016,2017,92.0,767433.59,27,20720706.96,270
ENG0016,2018,43.0,358691.79,241,218117973.3,365
ENG0016,2019,147.0,1237914.18,352,180090494.7,365
ENG0016,2020,46.0,393861.78,206,52178123.16,366
ENG0016,2021,95.0,813410.19,365,105143969.87,365
ENG0016,2022,100.0,860907.24,365,781484942.17,365
ENG0016,2023,79.0,738674.16,365,1624258360.97,365
ENG0016,2024,109.0,1022431.98,366,2410487095.17,366
ENG0016,2025,138.0,1294881.95,365,1924138273.59,365
ENG0016,2026,2.0,18766.41,174,854650235.0,174
ENG0003,2016,0.0,0.0,264,161362537.09,264
ENG0003,2017,11.0,621712.05,292,181539919.14,365
ENG0003,2018,275.0,15387303.95,351,1270256519.78,365
ENG0003,2019,276.0,15530929.54,361,1748657341.07,365
ENG0003,2020,354.0,19533267.63,296,875936570.74,366
ENG0003,2021,447.0,23746946.94,361,2228925486.41,365
ENG0003,2022,417.0,22573851.99,318,863989903.17,365
ENG0003,2023,343.0,19859367.26,218,266553615.15,365
ENG0003,2024,381.0,23738452.81,366,6497745614.95,366
ENG0003,2025,294.0,18733121.4,365,12550654141.36,365
ENG0003,2026,110.0,7092045.75,174,3873933277.07,174
ENG0038,2016,59.0,175589.5,82,17785133.26,82
ENG0038,2017,42.0,124995.92,365,28505021.15,365
ENG0038,2018,22.0,65474.05,365,27127089.97,365
ENG0038,2019,13.0,38689.21,365,159694187.7,365
ENG0038,2020,140.0,416653.06,366,204546889.76,366
ENG0038,2021,16.0,47617.49,365,183395796.19,365
ENG0038,2022,34.0,97113.66,365,261056555.75,365
ENG0038,2023,17.0,48556.83,365,325173659.95,365
ENG0038,2024,7.0,19993.99,366,307727476.85,366
ENG0038,2025,27.0,77119.67,365,290915388.81,365
ENG0038,2026,1.0,2828.16,174,130703901.48,174
ENG0040,2017,1.0,88168.9,2,176337.79,4
ENG0040,2018,2.0,176337.79,62,28390384.19,365
ENG0040,2019,12.0,1058026.74,365,207990423.3,365
ENG0040,2020,13.0,1146195.64,289,160379220.0,366
ENG0040,2021,8.0,705351.16,277,153766552.88,365
ENG0040,2022,6.0,529013.37,365,504326079.4,365
ENG0040,2023,12.0,1058026.74,365,310707185.98,365
ENG0040,2024,12.0,1058026.74,366,381065964.19,366
ENG0040,2025,7.0,617182.26,365,136573618.36,365
ENG0040,2026,1.0,88168.9,174,43643603.02,174
ENG0005,2018,58.0,10534673.5,213,1097130923.35,293
ENG0005,2019,53.0,9787611.74,365,4047007483.62,365
ENG0005,2020,93.0,17120798.56,322,2059422185.34,366
ENG0005,2021,133.0,23650742.66,301,1159423401.34,365
ENG0005,2022,115.0,19478855.24,242,2739761662.9,365
ENG0005,2023,104.0,18690871.73,365,20491726102.53,365
ENG0005,2024,77.0,14387735.21,366,18758959254.28,366
ENG0005,2025,101.0,19216561.62,365,13388425824.88,365
ENG0005,2026,64.0,12176831.17,174,3950810919.7,174
ENG0009,2018,109.0,2059704.08,313,90286844.73,341
ENG0009,2019,84.0,1737064.96,365,621017325.22,365
ENG0009,2020,91.0,1859709.22,366,568157441.29,366
ENG0009,2021,121.0,2424345.7,365,302254914.86,365
ENG0009,2022,40.0,782346.14,365,581531192.28,365
ENG0009,2023,55.0,1063245.45,365,725964663.98,365
ENG0009,2024,48.0,960330.86,366,447555084.77,366
ENG0009,2025,76.0,1606043.77,301,220302714.16,365
ENG0009,2026,66.0,1394722.22,174,215378921.82,174
ENG0008,2017,3.0,28530.0,173,94120470.0,173
ENG0008,2018,24.0,228240.0,365,177199830.0,365
ENG0008,2019,39.0,593131.8,296,83590246.8,365
ENG0008,2020,27.0,256770.0,366,58771800.0,366
ENG0008,2021,48.0,972388.52,365,463739969.47,365
ENG0008,2022,81.0,1514705.69,365,477692359.44,365
ENG0008,2023,61.0,1038333.9,365,218980586.45,365
ENG0008,2024,49.0,627230.22,366,68360176.24,366
ENG0008,2025,111.0,763920.52,365,122283623.76,365
ENG0008,2026,43.0,267808.2,174,68733284.67,174
ENG0032,2018,25.0,179350256.79,186,7147401777.57,351
ENG0032,2019,15.0,112727594.63,365,25756361550.04,365
ENG0032,2020,26.0,196046645.2,366,47594093248.99,366
ENG0032,2021,26.0,194144496.68,272,8628117797.25,365
ENG0032,2022,35.0,263464969.05,365,15853501067.53,365
ENG0032,2023,15.0,112922626.53,349,13919595763.6,365
ENG0032,2024,19.0,152739452.76,347,8513140707.08,366
ENG0032,2025,4.0,33679737.44,212,5152999828.32,365
ENG0032,2026,3.0,25259803.08,174,2610179651.6,174
ENG0001,2017,6.0,1342387.08,46,61749805.68,49
ENG0001,2018,19.0,4250892.42,150,160191524.88,365
ENG0001,2019,57.0,13297084.29,251,528678423.04,365
ENG0001,2020,79.0,17855208.94,173,545130932.4,366
ENG0001,2021,24.0,5364800.7,65,167435697.67,365
ENG0001,2022,22.0,4864616.3,111,356084702.19,365
ENG0001,2023,77.0,16684986.68,323,2679570210.91,365
ENG0001,2024,122.0,29312285.01,366,28685445881.96,366
ENG0001,2025,105.0,26315671.51,365,25576827702.09,365
ENG0001,2026,147.0,36841940.28,174,5947091165.23,174
ENG0028,2019,12.0,11479.08,134,1245480.18,137
ENG0028,2020,115.0,110007.85,366,35212077.9,366
ENG0028,2021,190.0,181752.1,353,19151888.39,365
ENG0028,2022,80.0,76527.2,59,3922019.0,365
ENG0028,2023,264.0,252539.76,282,21398918.3,365
ENG0028,2024,248.0,239387.83,331,22099601.26,366
ENG0028,2025,219.0,222590.87,365,55268696.23,365
ENG0028,2026,45.0,48978.36,18,833720.51,174
ENG0037,2019,9.0,11517.85,365,4882287.15,365
ENG0037,2020,5.0,6398.8,239,1233689.33,366
ENG0037,2023,25.0,31994.02,263,73775645.99,365
ENG0037,2024,64.0,81904.69,366,324592110.22,366
ENG0037,2025,78.0,99821.34,365,289937469.68,365
ENG0037,2026,0.0,0.0,174,129821486.96,174
ENG0007,2018,127.0,215294.64,115,29878488.32,115
ENG0007,2019,370.0,620039.99,365,165833629.07,365
ENG0007,2020,362.0,598036.84,366,216999264.51,366
ENG0007,2021,562.0,925276.27,365,225637344.77,365
ENG0007,2022,732.0,1220238.7,267,58657925.68,365
ENG0007,2023,774.0,876605.37,313,110597396.91,365
ENG0007,2024,1018.0,1776376.31,320,233140641.56,366
ENG0007,2025,1452.0,3041076.42,365,285916912.4,365
ENG0007,2026,329.0,691084.03,136,29870198.97,174
ENG0013,2017,2.0,3471.25,45,156206.2,49
ENG0013,2018,28.0,48597.48,347,8789202.14,365
ENG0013,2019,41.0,71525.45,365,13328704.71,365
ENG0013,2020,33.0,57737.12,366,19933963.54,366
ENG0013,2021,25.0,42470.46,365,56621837.46,365
ENG0013,2022,30.0,50731.54,365,70047574.77,365
ENG0013,2023,20.0,35098.35,365,63976663.97,365
ENG0013,2024,20.0,42576.91,366,69649432.52,366
ENG0013,2025,27.0,57478.81,365,50592000.82,365
ENG0013,2026,7.0,14901.91,174,18018543.76,174
ENG0024,2017,9.0,228849.3,58,13273259.4,63
ENG0024,2018,12.0,305132.4,248,123426055.8,365
ENG0024,2019,30.0,762831.0,365,204133575.6,365
ENG0024,2020,36.0,915397.2,366,171942107.4,366
ENG0024,2021,30.0,762831.0,365,231239503.8,365
ENG0024,2022,36.0,886819.36,335,125778856.98,365
ENG0024,2023,14.0,376609.64,365,214384117.85,365
ENG0024,2024,22.0,591815.15,366,325121723.27,366
ENG0024,2025,18.0,484212.4,365,219133009.91,365
ENG0024,2026,6.0,161404.13,174,95389842.02,174
ENG0034,2018,1.0,1240882.23,17,35985584.67,187
ENG0034,2019,3.0,3722646.69,365,1781164502.39,365
ENG0034,2020,4.0,4911969.09,366,1716733198.12,366
ENG0034,2021,3.0,3683976.82,365,2083902887.84,365
ENG0034,2022,0.0,0.0,365,3194007902.93,365
ENG0034,2023,0.0,0.0,365,3585737438.12,365
ENG0034,2024,2.0,2455984.55,366,3184183964.74,366
ENG0034,2025,7.0,8595945.91,365,2328273350.23,365
ENG0034,2026,1.0,1227992.27,174,1289391887.0,174
ENG0043,2018,1.0,42235.7,263,69477733.08,263
ENG0043,2019,1.0,42235.7,365,88230385.66,365
ENG0043,2020,2.0,84471.41,366,66267819.58,366
ENG0043,2021,4.0,168942.82,365,58538685.74,365
ENG0043,2022,2.0,84471.41,365,34844455.8,365
ENG0043,2023,0.0,0.0,365,47219517.07,365
ENG0043,2024,4.0,318831.31,152,33295327.03,366
ENG0043,2025,1.0,79707.83,346,83533803.22,365
ENG0043,2026,2.0,159415.66,174,39136543.3,174
ENG0012,2019,2.0,3840.98,49,94103.91,365
ENG0012,2020,27.0,55085.49,335,3518666.19,366
ENG0012,2021,16.0,33457.03,365,12958945.45,365
ENG0012,2022,16.0,33199.35,365,13922976.43,365
ENG0012,2023,29.0,60173.82,332,7949168.81,365
ENG0012,2024,27.0,141468.44,311,51994144.47,366
ENG0012,2025,43.0,196061.34,359,34501408.07,365
ENG0012,2026,17.0,53238.17,174,23500691.85,174
ENG0018,2018,5.0,1819844.18,57,60418826.78,88
ENG0018,2019,4.0,1455875.34,124,123021466.57,365
ENG0018,2020,14.0,5095563.7,222,238763556.42,366
ENG0018,2021,5.0,1819844.18,155,232576086.2,365
ENG0018,2022,8.0,2998990.62,26,45757824.31,365
ENG0018,2023,29.0,11747145.89,198,613018543.55,365
ENG0018,2024,20.0,8521973.82,366,4309256109.05,366
ENG0018,2025,45.0,19443001.2,251,1847914469.88,365
ENG0018,2026,21.0,9569840.01,167,827107600.86,174
ENG0017,2018,13.0,1517747.4,108,132044023.8,108
ENG0017,2019,32.0,3737338.63,286,303805340.73,365
ENG0017,2020,9.0,1051504.78,352,627164183.99,366
ENG0017,2021,12.0,1400360.91,289,172333252.68,365
ENG0017,2022,40.0,4420826.6,316,451364058.2,365
ENG0017,2023,10.0,1080474.0,365,1183551219.6,365
ENG0017,2024,13.0,1404616.2,366,819971718.6,366
ENG0017,2025,27.0,2917279.8,365,604849345.2,365
ENG0017,2026,4.0,432189.6,174,549529076.4,174
ENG0015,2018,14.0,2527.16,31,39171.02,70
ENG0015,2019,42.0,7581.49,115,133217.55,365
ENG0015,2020,286.0,51626.38,366,8358788.21,366
ENG0015,2021,538.0,93270.17,365,11629717.45,365
ENG0015,2022,572.0,97388.73,365,53742586.25,365
ENG0015,2023,133.0,22640.17,365,62199196.03,365
ENG0015,2024,267.0,50975.16,366,60977449.07,366
ENG0015,2025,112.0,21445.22,365,51716676.88,365
ENG0015,2026,235.0,43239.84,174,20901757.63,174
ENG0011,2019,8.0,11770.0,154,1618374.48,154
ENG0011,2020,4.0,5885.0,32,150067.45,366
ENG0011,2021,6.0,8827.5,176,9799993.12,365
ENG0011,2022,15.0,22068.74,365,12739549.68,365
ENG0011,2023,19.0,27953.74,365,42705960.11,365
ENG0011,2024,30.0,44137.48,366,57330178.12,366
ENG0011,2025,15.0,22068.74,365,44031551.37,365
ENG0011,2026,9.0,13241.24,174,17993378.45,174
ENG0010,2020,10.0,29307.52,100,20998839.3,100
ENG0010,2021,137.0,391096.52,365,265528167.35,365
ENG0010,2022,403.0,1153429.46,365,367325966.13,365
ENG0010,2023,530.0,1689584.63,327,270920719.32,365
ENG0010,2024,428.0,1475535.54,366,422339827.16,366
ENG0010,2025,303.0,1065261.63,365,284043821.9,365
ENG0010,2026,115.0,425880.06,174,148666249.85,174
ENG0039,2023,0.0,0.0,263,24412269.87,263
ENG0039,2024,0.0,0.0,366,33972968.71,366
ENG0039,2025,1.0,92822.32,16,1485157.1,365
ENG0039,2026,2.0,185644.64,113,97184967.88,174
ENG0004,2022,50.0,10305557.23,68,309578939.11,166
ENG0004,2023,110.0,17833595.87,349,8694486054.13,365
ENG0004,2024,155.0,32095947.79,366,23494699922.41,366
ENG0004,2025,123.0,26094895.87,365,14679970080.6,365
ENG0004,2026,49.0,10395527.62,174,3850800446.66,174
ENG0002,2022,46.0,1572645.24,87,127042385.04,87
ENG0002,2023,1338.0,47320520.02,355,1947283937.08,365
ENG0002,2024,1416.0,51647680.99,334,2205150355.56,366
ENG0002,2025,1183.0,42690893.1,352,7770767082.65,365
ENG0002,2026,484.0,16819964.6,174,4581876513.03,174
ENG0045,2025,12.0,19490.54,217,4229448.2,364
ENG0045,2026,2.0,3248.42,139,14401888.34,174
